   1   28  3.2492325302423699E-42 1.0550738304559232E-05 2.9261713127037663E-08 3.8741776357314262E-07
   1   29  0.0000000000000000E+00 4.1244736131316494E-07 4.4244510274109245E-09 3.0452783046665290E-08
   1   30  0.0000000000000000E+00 2.6458480227977422E-09 1.7450597597467823E-11 1.1312921962365555E-10
   1   31  6.8719243163376350E-45 1.4032210603736169E-07 1.9559191355173001E-09 1.3563820093638929E-08
   1   32  0.0000000000000000E+00 3.9204892425606636E-09 5.2476457470513360E-11 3.0763460700960515E-10
   1   33  0.0000000000000000E+00 1.5366859352741673E-09 3.3326428427323276E-12 3.4091652421036947E-11
   1   34  1.8208558616728298E-42 4.4536951913820375E-06 1.6329281212489230E-08 1.6847512956770805E-07
   1   35  0.0000000000000000E+00 1.7369642423163545E-07 1.7934058462228828E-09 1.1531350782253192E-08
   1   36  0.0000000000000000E+00 5.4005201872217140E-10 2.3399804460362706E-12 1.8530131752631691E-11
   1   37  9.8747519914190783E-161 6.0606020331348132E-21 7.9826797987574197E-24 2.1976823816406971E-22
   1   38  0.0000000000000000E+00 2.8056218099433287E-26 9.2525225754224983E-29 1.2200952534014004E-27
   1   39  0.0000000000000000E+00 3.2783461765813173E-34 3.8264743963705640E-37 9.1282415416328829E-36
   1   40  2.8366441514105341E-160 1.8171351710980581E-20 2.3947843508705096E-23 6.5930457932467597E-22
   1   41  0.0000000000000000E+00 7.0442155091379479E-26 2.4250428329193099E-28 3.2737330492184871E-27
   1   42  0.0000000000000000E+00 4.6939990024089712E-34 3.5927311238645576E-37 1.0049809437387517E-35
   1   43  3.4614775539423367E-162 9.4915922088925244E-23 1.2483455226415873E-25 3.4338906254952991E-24
   1   44  0.0000000000000000E+00 6.5162127616509628E-28 2.0216674890646724E-30 2.5850833824339612E-29
   1   45  0.0000000000000000E+00 1.4831282359566717E-34 8.8385897407674672E-38 3.1486677527895342E-36
   1   46  1.3033052400203034E-160 7.6705223519322065E-21 1.0103225072647793E-23 2.7814423112685654E-22
   1   47  0.0000000000000000E+00 2.8174780035903369E-26 9.2443152577231145E-29 1.2782770187999362E-27
   1   48  0.0000000000000000E+00 9.5810628605926875E-35 5.9704725066368979E-38 2.0199423900376224E-36
   2    1  0.0000000000000000E+00 5.0957379378394596E-01 1.6787318011484045E-01 1.5771599363921265E-01
   2    2  3.0413132650910679E-08 5.5528228631581973E-02 2.3182233211993246E-02 1.2466697994959459E-02
   2    3  0.0000000000000000E+00 1.5085406352560322E+00 4.8266412270477704E-01 4.4468906452198498E-01
   2    4  7.0505487896535735E-07 2.5839448497888734E-01 1.1578915812314659E-01 5.9062521499324748E-02
   2    5  0.0000000000000000E+00 1.1113798861361367E-03 5.1556048018691676E-05 6.8101851531420982E-05
   2    6  8.1032462168876649E-35 4.2319880064904561E-08 1.5549701302754261E-09 2.4886069763226052E-09
   2    7  0.0000000000000000E+00 7.5604100304548102E-02 8.1401624041462870E-03 9.1949714374638253E-03
   2    8  4.9460942709190210E-28 4.0490772616102254E-05 2.9811998205664733E-06 3.4277277380067596E-06
   2    9  0.0000000000000000E+00 3.3705434071107469E-13 2.0269707428869130E-16 7.7562806446944834E-15
   2   10  2.3600506085400340E-134 8.4051775519341641E-30 1.0303896039203705E-32 2.7562034979373505E-31
   2   11  0.0000000000000000E+00 7.0050077982652047E-06 9.8976137487588358E-09 1.6208127153402038E-07
   2   12  3.2755830240105732E-107 5.7962353038076578E-18 8.3486797113905224E-21 1.9253664538001974E-19
   2   13  0.0000000000000000E+00 5.1083723410266381E-02 7.4005933874849335E-03 1.1889812324780704E-02
   2   14  0.0000000000000000E+00 1.0825652409169958E-02 1.0328167563617000E-03 1.2704149613051393E-03
   2   15  0.0000000000000000E+00 1.0683720365066631E-03 1.2492108108769459E-04 1.4300141823362229E-04
   2   16  0.0000000000000000E+00 1.2873850748738669E-01 7.8137644709342403E-03 1.4696340953703955E-02
   2   17  0.0000000000000000E+00 4.8810601890116080E-02 6.3653755113453666E-03 7.5538947237007333E-03
   2   18  0.0000000000000000E+00 3.1153063168879373E-03 3.6221247579567222E-04 4.1489061457959003E-04
   2   19  0.0000000000000000E+00 1.0017525238411587E-02 1.6385141226417665E-03 2.7037156470693176E-03
   2   20  0.0000000000000000E+00 5.9867676197580702E-04 8.4544861270156264E-05 8.0971956822659699E-05
   2   21  0.0000000000000000E+00 3.2812427734417096E-05 5.9409175288722553E-06 5.7312190148228121E-06
   2   22  0.0000000000000000E+00 7.0572661628130015E-02 2.3552048984333634E-03 6.0620858039467608E-03
   2   23  0.0000000000000000E+00 3.0876788501637123E-02 4.5999444868556312E-03 5.0853417883326476E-03
   2   24  0.0000000000000000E+00 1.3259335096334501E-03 1.6662415649412686E-04 1.8266336059452774E-04
   2   25  0.0000000000000000E+00 1.3717412433510231E-07 7.9636944936414672E-10 6.5851453634966667E-09
   2   26  0.0000000000000000E+00 1.0284203766673388E-09 1.2348048227131160E-11 8.0091524868959391E-11
