2.7643286042699214E+02 a       172     0    11     1    12
-4.0892136139665631E+01 a       173     0    11     1    13
1.1257088059771290E+02 a       174     0    11     1    14
-1.9934069964248309E+02 a       175     0    11     1    15
7.5733104155853982E+02 a       176     0    11     1    16
5.0962766665738172E+01 a       177     0    12     1     1
-3.8979653823265558E+01 a       178     0    12     1     2
1.8815842008326999E+03 a       179     0    12     1     3
1.3895871517794052E+02 a       180     0    12     1     4
-4.0699902336112977E+01 a       181     0    12     1     5
-5.4449246121548924E+01 a       182     0    12     1     6
4.2417198701218688E+01 a       183     0    12     1     7
-2.1088494799330306E+03 a       184     0    12     1     8
1.3881832469812042E+02 a       185     0    12     1     9
1.2107956000765689E+01 a       186     0    12     1    10
-2.0393379937081687E+02 a       187     0    12     1    11
-1.3699581848825594E+02 a       188     0    12     1    12
-5.0440341621961153E+01 a       189     0    12     1    13
4.1362486593536438E+01 a       190     0    12     1    14
1.8047998279455348E+02 a       191     0    12     1    15
9.9091609118827861E+01 a       192     0    12     1    16
-4.5844227759011363E+02 a       193     0    13     1     1
1.3817949308899426E+02 a       194     0    13     1     2
5.4887323805236107E+01 a       195     0    13     1     3
-5.8547507690431942E+01 a       196     0    13     1     4
1.0712620161085985E+01 a       197     0    13     1     5
5.8246213796274708E+02 a       198     0    13     1     6
7.8158275782133813E+01 a       199     0    13     1     7
-1.2132193704705807E+02 a       200     0    13     1     8
-1.1787052902289827E+02 a       201     0    13     1     9
-4.8794099529591698E+01 a       202     0    13     1    10
-5.3446304399573620E+01 a       203     0    13     1    11
-4.1028828583338914E+01 a       204     0    13     1    12
1.6430851366780402E+01 a       205     0    13     1    13
4.2638458775128470E+01 a       206     0    13     1    14
3.2145843221158962E+01 a       207     0    13     1    15
-1.2734029886877919E+02 a       208     0    13     1    16
5.4527846003520267E+01 a       209     0    14     1     1
-1.0223430565023520E+02 a       210     0    14     1     2
-3.2680402968932663E+02 a       211     0    14     1     3
6.4452504590141215E+00 a       212     0    14     1     4
5.1112870322860381E+01 a       213     0    14     1     5
-1.9173408886330185E+02 a       214     0    14     1     6
-1.3036799807856681E+02 a       215     0    14     1     7
9.0800183750014901E+02 a       216     0    14     1     8
-6.7686994457472993E+00 a       217     0    14     1     9
-3.3655151532308702E+02 a       218     0    14     1    10
-1.3199455728295783E+02 a       219     0    14     1    11
1.8159842964613114E+02 a       220     0    14     1    12
-8.9637359673682411E+01 a       221     0    14     1    13
-3.2162677410837134E+01 a       222     0    14     1    14
-3.4718330928453526E+02 a       223     0    14     1    15
-1.8537340792255543E+02 a       224     0    14     1    16
-8.4724818972277234E+01 a       225     0    15     1     1
1.4323118730686033E+02 a       226     0    15     1     2
8.2439935148533181E+01 a       227     0    15     1     3
1.6838221730908020E+02 a       228     0    15     1     4
-2.7702511044677685E+01 a       229     0    15     1     5
3.7255661148188253E+01 a       230     0    15     1     6
-1.7371488383645354E+02 a       231     0    15     1     7
7.2997629310153854E+02 a       232     0    15     1     8
-1.5822189381966400E+01 a       233     0    15     1     9
-1.0969477411991141E+02 a       234     0    15     1    10
-1.7044955172442977E+02 a       235     0    15     1    11
3.8767851327265458E+02 a       236     0    15     1    12
-1.7079752092974001E+00 a       237     0    15     1    13
-1.4661879031133091E+02 a       238     0    15     1    14
-3.7222394823288761E+02 a       239     0    15     1    15
-9.0477217530457779E+01 a       240     0    15     1    16
-5.4946523748740674E+01 a       241     0    16     1     1
-4.3728553838837328E+01 a       242     0    16     1     2
3.0192380988614661E+02 a       243     0    16     1     3
6.9894862557446658E+01 a       244     0    16     1     4
1.7398897420893665E+01 a       245     0    16     1     5
1.1770736337281596E+02 a       246     0    16     1     6
